"site","sensor_number","date_time","date","time","temp_durafet_c","p_h","tide","temp_c","tide_height","temp_hobo_c"
"Alegria",4,2021-06-18 01:15:00,"06/18/2021","01:15:00",16.12788985,7.842363333,"high",16.7944444444444,2.931996,NA
"Alegria",4,2021-06-18 01:30:00,"06/18/2021","01:30:00",16.11488695,7.841745701,"high",16.7611111111111,3.030151,NA
"Alegria",4,2021-06-18 01:45:00,"06/18/2021","01:45:00",16.10723666,7.843553083,"high",16.7611111111111,3.129757,NA
"Alegria",4,2021-06-18 02:00:00,"06/18/2021","02:00:00",16.0830924,7.848255551,"high",16.7388888888889,3.228431,NA
"Alegria",4,2021-06-18 02:15:00,"06/18/2021","02:15:00",16.10388895,7.84908023,"high",16.75,3.324108,NA
"Alegria",4,2021-06-18 02:30:00,"06/18/2021","02:30:00",16.08794502,7.849622608,"high",16.7277777777778,3.414633,NA
"Alegria",4,2021-06-18 02:45:00,"06/18/2021","02:45:00",16.08235792,7.849338843,"high",16.7277777777778,3.497909,NA
"Alegria",4,2021-06-18 03:00:00,"06/18/2021","03:00:00",16.02890425,7.856368955,"high",16.6444444444444,3.572013,NA
"Alegria",4,2021-06-18 03:15:00,"06/18/2021","03:15:00",15.98351693,7.862788117,"high",16.5888888888889,3.634906,NA
"Alegria",4,2021-06-18 03:30:00,"06/18/2021","03:30:00",15.94703378,7.863825996,"high",16.5444444444444,3.68497,NA
"Alegria",4,2021-06-18 03:45:00,"06/18/2021","03:45:00",15.91947871,7.867599212,"high",16.5333333333333,3.720693,NA
"Alegria",4,2021-06-18 04:00:00,"06/18/2021","04:00:00",15.88392882,7.867573169,"high",16.5111111111111,3.740801,NA
"Alegria",4,2021-06-18 04:15:00,"06/18/2021","04:15:00",15.8518019,7.870135372,"high",16.4722222222222,3.744185,NA
"Alegria",4,2021-06-18 04:30:00,"06/18/2021","04:30:00",15.80474852,7.872327861,"high",16.4166666666667,3.72982,NA
"Alegria",4,2021-06-18 04:45:00,"06/18/2021","04:45:00",15.76792488,7.882044699,"high",16.3611111111111,3.697058,NA
"Alegria",4,2021-06-18 05:00:00,"06/18/2021","05:00:00",15.71925694,7.901637534,"high",16.3222222222222,3.64577,NA
"Alegria",4,2021-06-18 05:15:00,"06/18/2021","05:15:00",15.6841021,7.910241275,"high",16.3,3.575959,NA
"Alegria",4,2021-06-18 05:30:00,"06/18/2021","05:30:00",15.67033469,7.912582699,"high",16.2888888888889,3.488208,NA
"Alegria",4,2021-06-18 05:45:00,"06/18/2021","05:45:00",15.64572375,7.914127279,"high",16.2777777777778,3.383067,NA
"Alegria",4,2021-06-18 06:00:00,"06/18/2021","06:00:00",15.62197198,7.919979955,"high",16.2444444444444,3.261812,NA
"Alegria",4,2021-06-18 06:15:00,"06/18/2021","06:15:00",15.58745707,7.923252098,"high",16.2111111111111,3.12551,NA
"Alegria",4,2021-06-18 06:30:00,"06/18/2021","06:30:00",15.56059729,7.930949431,"high",16.1833333333333,2.976067,NA
"Alegria",4,2021-06-18 06:45:00,"06/18/2021","06:45:00",15.53801412,7.937731668,"high",16.1611111111111,2.815003,NA
"Alegria",4,2021-06-18 07:00:00,"06/18/2021","07:00:00",15.52119937,7.93886419,"high",16.1388888888889,2.644744,NA
"Alegria",4,2021-06-18 07:15:00,"06/18/2021","07:15:00",15.4799725,7.945280053,"high",16.0944444444444,2.467371,NA
"Alegria",4,2021-06-18 07:30:00,"06/18/2021","07:30:00",15.41198308,7.94979442,"high",16.0222222222222,2.285089,NA
"Alegria",4,2021-06-18 07:45:00,"06/18/2021","07:45:00",15.37243121,7.951481751,"high",15.9888888888889,2.100824,NA
"Alegria",4,2021-06-18 08:00:00,"06/18/2021","08:00:00",15.33247401,7.952424516,"high",15.9444444444444,1.916778,NA
"Alegria",4,2021-06-18 08:15:00,"06/18/2021","08:15:00",15.24769103,7.957828879,"high",15.8277777777778,1.735995,NA
"Alegria",4,2021-06-18 08:30:00,"06/18/2021","08:30:00",15.20977415,7.961413418,"high",15.85,1.560717,NA
"Alegria",4,2021-06-18 08:45:00,"06/18/2021","08:45:00",15.18443515,7.966185029,"high",15.8055555555556,1.393922,NA
"Alegria",4,2021-06-18 09:00:00,"06/18/2021","09:00:00",15.16764163,7.972259925,"high",15.8166666666667,1.237752,NA
"Alegria",4,2021-06-18 09:15:00,"06/18/2021","09:15:00",15.17906332,7.980377986,"high",15.8388888888889,1.094935,NA
"Alegria",4,2021-06-18 09:30:00,"06/18/2021","09:30:00",15.21488493,7.9945594,"high",15.8944444444444,0.967379,NA
"Alegria",4,2021-06-18 12:15:00,"06/18/2021","12:15:00",15.8045606,8.154426681,"high",16.6333333333333,0.962769,NA
"Alegria",4,2021-06-18 12:30:00,"06/18/2021","12:30:00",15.90404661,8.159113693,"high",16.6944444444444,1.09583,NA
"Alegria",4,2021-06-18 12:45:00,"06/18/2021","12:45:00",16.04529362,8.152755916,"high",16.8666666666667,1.247594,NA
"Alegria",4,2021-06-18 13:00:00,"06/18/2021","13:00:00",16.21839987,8.144306714,"high",17.0611111111111,1.416245,NA
"Alegria",4,2021-06-18 13:15:00,"06/18/2021","13:15:00",16.29622764,8.140029617,"high",17.0833333333333,1.599734,NA
"Alegria",4,2021-06-18 13:30:00,"06/18/2021","13:30:00",16.27530571,8.133788182,"high",16.9833333333333,1.795575,NA
"Alegria",4,2021-06-18 13:45:00,"06/18/2021","13:45:00",16.23476389,8.124923046,"high",16.8666666666667,2.001772,NA
"Alegria",4,2021-06-18 14:00:00,"06/18/2021","14:00:00",16.24569146,8.117056514,"high",16.9444444444444,2.215533,NA
"Alegria",4,2021-06-18 14:15:00,"06/18/2021","14:15:00",16.25308511,8.114475072,"high",16.9222222222222,2.43417,NA
"Alegria",4,2021-06-18 14:30:00,"06/18/2021","14:30:00",16.30162321,8.11116944,"high",17.0277777777778,2.654676,NA
"Alegria",4,2021-06-18 14:45:00,"06/18/2021","14:45:00",16.32842724,8.109267658,"high",17.0277777777778,2.874758,NA
"Alegria",4,2021-06-18 15:00:00,"06/18/2021","15:00:00",16.37542479,8.107225388,"high",17.0722222222222,3.091386,NA
"Alegria",4,2021-06-18 15:15:00,"06/18/2021","15:15:00",16.40170905,8.100164308,"high",17.0944444444444,3.301824,NA
"Alegria",4,2021-06-18 15:30:00,"06/18/2021","15:30:00",16.4342234,8.097939357,"high",17.1166666666667,3.50342,NA
"Alegria",4,2021-06-18 15:45:00,"06/18/2021","15:45:00",16.4871222,8.106869682,"high",17.2111111111111,3.693439,NA
"Alegria",4,2021-06-18 16:00:00,"06/18/2021","16:00:00",16.52765576,8.117811215,"high",17.2222222222222,3.869937,NA
"Alegria",4,2021-06-18 16:15:00,"06/18/2021","16:15:00",16.58801886,8.119947508,"high",17.2944444444444,4.030516,NA
"Alegria",4,2021-06-18 16:30:00,"06/18/2021","16:30:00",16.58395475,8.132191358,"high",17.2333333333333,4.173218,NA
"Alegria",4,2021-06-18 16:45:00,"06/18/2021","16:45:00",16.62259605,8.134308192,"high",17.3166666666667,4.296212,NA
"Alegria",4,2021-06-18 17:00:00,"06/18/2021","17:00:00",16.65867976,8.13444774,"high",17.3388888888889,4.398345,NA
"Alegria",4,2021-06-18 17:15:00,"06/18/2021","17:15:00",16.68701794,8.12996984,"high",17.3833333333333,4.478334,NA
